"1","","0.835040591","0","61.92858913","0.0","0.0","1","4","4.0","3.0","0","46.0","47.0"
"1","0.631525164","0.695949481","0","57.78143652","2.0","2.0","1","4","3.0","3.0","1","87.0","38.0"
"1","0.463093761","0.758485855","-1","","2.0","2.0","1","","3.0","2.0","0","39.0","55.0"
"0","0.719956621","0.32803191","-1","55.98282019","1.0","2.0","4","2","1.0","2.0","1","64.0","48.0"
"1","0.335459911","0.372360255","0","78.13323096","3.0","3.0","3","3","3.0","2.0","1","48.0","33.0"
"1","0.243791063","0.460968941","0","63.79223269","2.0","1.0","1","5","3.0","3.0","1","49.0","10.0"
"1","0.475528617","0.386411773","0","67.48333776","2.0","2.0","4","5","4.0","2.0","0","70.0","52.0"
"0","0.768855326","0.632248495","1","79.2584009","1.0","1.0","5","5","1.0","","0","43.0","41.0"
"1","-0.008283012","0.566473117","0","69.85133807","3.0","2.0","5","","2.0","3.0","0","49.0","38.0"
"0","0.603071027","0.817082548","0","50.2352199","1.0","1.0","3","3","1.0","3.0","1","32.0","40.0"
"1","","0.314188667","0","70.83577684","2.0","3.0","1","2","1.0","2.0","0","47.0","59.0"
"1","0.577316081","0.759829337","","55.16511174","2.0","2.0","2","5","4.0","5.0","1","56.0","64.0"
"1","0.535722924","0.278421783","-1","60.61132593","3.0","2.0","4","4","2.0","4.0","0","","40.0"
"0","0.61103786","0.516471011","-1","67.60668747","1.0","2.0","3","5","3.0","1.0","0","23.0","52.0"
"1","0.613107953","0.534857645","1","69.49014522","2.0","","2","4","5.0","2.0","1","39.0","73.0"
"1","0.67309642","","1","80.90258147","2.0","4.0","","5","4.0","4.0","1","71.0","47.0"
"0","0.705248056","0.791832155","0","65.0463539","1.0","2.0","5","3","2.0","3.0","0","55.0","42.0"
"0","0.642271052","","-1","56.79112389","1.0","0.0","","2","3.0","","0","43.0","30.0"
"1","0.519099156","0.376200026","1","60.27382276","3.0","1.0","3","5","2.0","2.0","1","31.0","31.0"
"1","0.612965053","","0","79.33666059","4.0","3.0","1","3","3.0","3.0","0","73.0","26.0"
"0","0.410345784","0.231389221","-1","66.36755755","0.0","0.0","1","1","3.0","4.0","0","","4.0"
"0","0.347834318","0.110576921","1","56.97194961","0.0","3.0","5","2","1.0","4.0","1","50.0","60.0"
"1","0.531040775","0.615371693","0","64.81483449","2.0","-1.0","5","1","2.0","1.0","1","55.0","76.0"
"1","0.450109135","0.757228978","0","71.9581959","2.0","1.0","4","3","3.0","2.0","1","63.0","51.0"
"0","0.713909169","0.386863038","1","66.90449497","1.0","3.0","2","4","3.0","2.0","0","","24.0"
"0","0.360853814","0.718195629","1","59.10049418","1.0","2.0","3","2","3.0","3.0","1","40.0","52.0"
"0","0.571639434","0.411944656","0","64.17841211","1.0","2.0","1","3","3.0","3.0","1","54.0","66.0"
"0","0.25986384","0.398497464","0","67.78782467","1.0","1.0","4","3","2.0","2.0","1","49.0","7.0"
"1","0.435034594","0.348013015","1","77.75608136","2.0","2.0","1","4","2.0","2.0","0","55.0","38.0"
"1","0.803597724","0.454838159","0","58.28107","2.0","2.0","4","","1.0","2.0","1","66.0","65.0"
"1","0.238927396","0.621402511","1","68.71464158","2.0","1.0","1","2","1.0","1.0","0","25.0","10.0"
"0","0.494077654","0.634433356","1","66.72295018","-1.0","3.0","3","2","1.0","3.0","1","58.0","46.0"
"1","0.590846647","0.745681613","1","68.80061216","2.0","1.0","5","2","2.0","3.0","0","66.0",""
"1","0.505601492","0.512910581","","67.99337776","2.0","0.0","","1","","3.0","1","67.0","27.0"
"0","0.757824247","0.411196826","-1","66.56772347","1.0","1.0","2","4","2.0","3.0","1","24.0","23.0"
"0","0.366007517","0.29006251","-1","77.60331077","0.0","1.0","1","3","4.0","1.0","0","64.0","50.0"
"1","0.484742603","0.481664951","1","59.2978147","2.0","1.0","2","","4.0","1.0","0","81.0","80.0"
"0","0.41729529","0.158735413","-1","","1.0","0.0","5","5","2.0","3.0","1","57.0","24.0"
"0","0.327304224","0.35754617","-1","62.70796844","","3.0","2","4","1.0","2.0","1","69.0",""
